ID 706,,,,
speaker,Utterance,Orientation about Mathematics,Orientation about Students,Orientation about Interaction
Episode 1: The launch,,,,
teacher,"Friends, yesterday we started off by working on some word problems together, yes?",Mathematics as a problem-solving / word problem practice,"Students as a collective community with shared mathematical history (addressed as friends), framing them as a social group with relational bonds","Frames prior work as shared/collaborative (""together"")"
student,Yes.,,,
teacher,"And yesterday towards the end of the period, you got a word problem given to you that you had to draw a picture to show it, and you had to do the math problem to show it, yes?",Mathematics as a multimodal / multirepresentative practice,Students as holders of prior experience; positioned as having already engaged with multi-representational mathematical tasks,N/A
multiple students,Yes.,,,
teacher,"Some of you might be done. If you are finished, then you can just look over it to make sure that you are happy with the way that it is. And if you are not done, now is your time to get it done. I'm gonna set about ten minutes on my timer. And if we need less time than that, then we will take less time. But I'm gonna give you at least ten minutes to finish it up. And then we're gonna start something new. So my timer is set for ten minutes. You get ten minutes to finish it up.",Mathematics as a self-monitored / self-regulated/timed practice; N/A re: mathematical content,Students as working at varied paces,Students work independently within a teacher-set time structure
"Mathematics is framed from the outset as a shared, ongoing practice (something the class has already been doing together) rather than a new body of content to be delivered.

The teacher's use of 'Friends' and collective memory ('yesterday we started off...') positions students as a learning community with a shared mathematical history, casting them as participants who already hold relevant experience rather than as blank recipients. 

Interactionally, the episode is largely teacher-directed. Interaction pattern is predominantly one of teacher announcement followed by student confirmation. ",,,,
Episode 2: Draw a picture,,,,
student,Can we find new ways to check it or [inaudible]?,,,
teacher,"Well, the best way to check it is going to be to draw the picture and do the math part of it. So let's look at what you have. A lawn mower holds three fourths a gallon of gas. So I'd be drawing that picture. I could be drawing a whole gallon cut into fourths with three of it filled.",Mathematics as a multimodal / multi-representational practice; mathematics as sense-making through visual models,"Students as recipients of a preferred checking method.

Teacher positions herself as the authority on the correct approach to verification",N/A
student,Can you [find] the gallon?,,,
student,I don't know how to.,,,
teacher,"I guess draw it ?? basically remember yesterday when I showed you the cups, like a cup of cheese. You're just drawing a container and cut into fourths because you need to have three-fourths of it filled. So that's the whole amount.",Mathematics as grounded in everyday / concrete contexts; mathematics as a visual/representational practice,Students as holders of relevant prior classroom experiences that can be reactivated,References a past teacher-student interaction 
student,I can make it like that. That's the way it fills up the gas.,,,
teacher,That works. So now show three fourths of that.,N/A,Students as generators of valid self-initiated representations,"Builds on student's idea (""that works""), treating student contribution as consequential to the task"
student,I'm pretty [inaudible].,,,
teacher,"You might wanna draw it a little bit bigger. Like I wanna show this. Like yesterday when we were talking about the cheese I showed you a picture. And I said that she needed three fourths. So that's one fourth, two fourths, three fourths, four fourths would be the whole thing. And I said that she had to have this much, right?",Mathematics as built on prior concrete/contextual experiences; fractions as partitioned wholes (part-whole understanding),Students as needing practical refinement of their representation rather than conceptual correction; teacher again draws on shared prior experience to scaffold,references past shared interaction as a learning scaffold
student,Mm-hmm.,,,
teacher,Do the same thing with what you're doing there but with a gallon of gas. I'm talking to you just in case. Draw a picture of how much she would have in all with the new color. Basically a picture of your end result. Let me see what you got going on here.,Mathematics as a representational / visual practice; mathematics as a process with a communicable end result,Students as capable of transferring a demonstrated strategy to a new context independently; student's work is framed as worth examining,N/A
