obsid,legacy_id,legacy_file,renamed,shadowed_real_obsid,teacher_id,year,scenes,in_sample
24,340,340_original.csv,yes,no,340,1,0,yes
39,321,321_original.csv,yes,yes,321,1,2,yes
47,322,322_original.csv,yes,no,322,1,3,yes
56,330,330_original.csv,yes,yes,330,1,0,yes
76,346,346_original.csv,yes,no,346,1,2,yes
82,306,306_original.csv,yes,yes,306,1,1,yes
87,308,308_original.csv,yes,yes,308,1,0,yes
128,324,324_original.csv,yes,yes,324,1,1,yes
131,336,336_original.csv,yes,yes,336,1,1,yes
199,323,323_original.csv,yes,no,323,1,1,yes
206,342,342_original.csv,yes,no,342,1,0,yes
225,347,347_original.csv,yes,no,347,1,1,yes
434,335,335_original.csv,yes,yes,335,1,0,yes
447,333,333_original.csv,yes,yes,333,1,0,yes
465,339,339_original.csv,yes,yes,339,1,0,yes
535,319,319_original.csv,yes,yes,319,1,0,yes
538,310,310_original.csv,yes,yes,310,1,1,yes
1085,320,320_original.csv,yes,no,320,1,1,yes
1146,331,331_original.csv,yes,yes,331,1,0,yes
1147,343,343_original.csv,yes,no,343,1,0,yes
2197,315,315_original.csv,yes,yes,315,2,0,yes
2199,325,325_original.csv,yes,no,325,2,1,yes
2204,309,309_original.csv,yes,yes,309,2,1,yes
2205,307,307_original.csv,yes,no,307,2,0,yes
2253,303,303_original.csv,yes,yes,303,2,1,yes
2358,304,304_original.csv,yes,no,304,2,0,yes
2389,338,338_original.csv,yes,yes,338,2,0,yes
2397,345,345_original.csv,yes,no,345,2,0,yes
2405,302,302_original.csv,yes,yes,302,2,1,yes
2458,314,314_original.csv,yes,no,314,2,0,yes
2530,316,316_original.csv,yes,no,316,2,0,yes
2531,329,329_original.csv,yes,no,329,2,0,yes
2561,337,337_original.csv,yes,yes,337,2,0,yes
2571,344,344_original.csv,yes,no,344,2,1,yes
2592,348,348_original.csv,yes,no,348,2,2,yes
2595,332,332_original.csv,yes,yes,332,2,1,yes
2634,305,305_original.csv,yes,yes,305,2,0,yes
2757,313,313_original.csv,yes,yes,313,2,0,yes
2761,349,349_original.csv,yes,no,349,2,1,yes
2765,351,351_original.csv,yes,no,351,2,0,yes
2776,326,326_original.csv,yes,yes,326,2,0,yes
2783,334,334_original.csv,yes,yes,334,2,1,yes
2789,341,341_original.csv,yes,no,341,2,1,yes
2800,318,318_original.csv,yes,no,318,2,0,yes
2916,312,312_original.csv,yes,no,312,2,1,yes
2928,328,328_original.csv,yes,no,328,2,0,yes
2987,327,327_original.csv,yes,yes,327,2,0,yes
4430,1411,1411_original.csv,yes,no,1411,3,0,yes
4598,350,350_original.csv,yes,no,350,3,0,yes
4678,352,352_original.csv,yes,no,352,3,1,yes
