source_document_id,obsid,legacy_id,scenes_found,high_conf,medium_conf,low_conf
24,24,340,3,0,1,2
39,39,321,2,0,1,1
47,47,322,1,0,1,0
56,56,330,0,0,0,0
76,76,346,2,0,0,2
82,82,306,1,0,1,0
87,87,308,0,0,0,0
128,128,324,1,0,1,0
131,131,336,1,0,0,1
199,199,323,1,0,0,1
206,206,342,0,0,0,0
225,225,347,1,0,1,0
434,434,335,0,0,0,0
447,447,333,0,0,0,0
465,465,339,0,0,0,0
535,535,319,0,0,0,0
538,538,310,1,0,0,1
1085,1085,320,1,0,1,0
1146,1146,331,0,0,0,0
1147,1147,343,0,0,0,0
2197,2197,315,0,0,0,0
2199,2199,325,1,0,0,1
2204,2204,309,3,1,1,1
2205,2205,307,0,0,0,0
2253,2253,303,1,1,0,0
2358,2358,304,0,0,0,0
2389,2389,338,0,0,0,0
2397,2397,345,1,0,0,1
2405,2405,302,0,0,0,0
2458,2458,314,1,0,0,1
2530,2530,316,0,0,0,0
2531,2531,329,0,0,0,0
2561,2561,337,2,0,0,2
2571,2571,344,2,0,1,1
2592,2592,348,2,0,2,0
2595,2595,332,1,0,1,0
2634,2634,305,0,0,0,0
2757,2757,313,0,0,0,0
2761,2761,349,1,0,1,0
2765,2765,351,2,0,1,1
2776,2776,326,0,0,0,0
2783,2783,334,1,0,1,0
2789,2789,341,1,0,0,1
2800,2800,318,1,0,0,1
2916,2916,312,1,0,0,1
2928,2928,328,0,0,0,0
2987,2987,327,0,0,0,0
4430,4430,1411,0,0,0,0
4598,4598,350,0,0,0,0
4678,4678,352,1,0,1,0
