obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
3,329,1,250,250,134,22033,,0112d692df38d6bc3efe2d69d0fca4b2df877126c0e485be0dda3c1bd7fa4e04
4,327,1,465,465,245,39313,,ba079580cb6a4565f913a30e999ef59a45738573d2cc10ec240c23fea782edfa
5,326,1,591,591,287,32562,,1584386fbd878040bf0f03aab87269a899151f9f3ed99c477c9ff8472f7f1f7d
7,341,1,523,523,270,27671,,63dd4b0c4bc7566dc8aab90bf6db8dd236754bce83c2c56b0728364fd0e9ea95
8,350,1,468,468,231,29852,,ea79673f3c956057042c094344b0dcee03696cc4205ad9cca7527d33b9fb9d30
9,349,1,785,785,367,37247,,f5c784f11a0d9239755a140bf874cfc25562ea681e3ec0920bf77ebf59a31fa7
10,304,1,414,414,208,37043,,1f7f294b2849477a1f926d7999e9582d30f7426ad951981f9209a8819148f90e
11,305,1,691,691,337,35964,,10a5d21e26fa14deaa3708ef53780bc39d4ffc3a21d2957325fde1eb132c2e3e
12,306,1,394,394,198,42013,,98810e6dd6c9cb4eae3a628318081a03e1ca57b9e0bfbcff79d4fbe1ba8041ff
13,312,1,237,237,115,21486,,1299a63154d8a2b853cc4e3ff0af8c10bb10801361583a08048d6e2eeec3ec4f
15,309,1,437,437,210,26422,,ae682edc22247dd0e47bf1f2f23d3fc480091427fd1dcbed08ada63f2fae2b06
16,337,1,412,412,204,39390,,d97129a8bd2050c596f202466d1aeb44c8942cb35367f6b87dad07828244c07a
17,354,1,564,564,269,26084,,04a6dad4d685cfe0cea3fb6bb15950dcccaaf588f4fd927181075afb9484912b
18,310,1,451,451,206,23257,,737ad299d3e2d607197da3f0106c11810f64694514e2acccc2090a54ae477e53
19,355,1,451,451,219,22974,,6614f5d2843de1e92fa7c5c599d2ad6f7de83870f36eb107603b4fdb40bd26f5
20,336,1,664,664,326,39834,,87e6245ba90ff8857276c9d34da746585f384d8c1eff6b747bf9e4a87b593d6e
21,339,1,166,166,84,21848,,a5b9bcaa6ca40cadcb5d11e416dedeb46139fe30aa2035505ecee496f312f956
22,351,1,491,491,242,34090,,8cd629710e5e26bca97a068fe1bfd14cb203813d1df29bcccc66c1da6be04138
23,356,1,812,812,403,47384,,007d47926d115442ce9c20478ae5ba46dea99f875f45d9ac3a9d2df4ec095362
24,340,1,488,488,246,33070,,fbf549572cf5069931ae4f9f6bfa80be4b3cdf26ac177b49d14c67530a27fbcd
25,335,1,496,496,246,26035,,cb39179ad9e26f3c112df9af04904f632597fa21439ad8fccabab5402a0a8ea9
26,333,1,388,388,199,24052,,a71f7c6369f6b4dc9192eba1df026d6a77c8e87dcb17a05e9e6ed7e43bca17eb
27,334,1,183,183,90,11746,,48c562f1f985376510c2cb7369145f38034a75f0514885dfcdcb1a2fcddf906c
28,353,1,308,308,150,20781,,477112bbf29e1e569bc8c9e4595a538837d0c25433babba4ee017c2ef14781ae
29,348,1,289,289,139,15131,,078d854445a2faf6f10e884737973f9e21c23357a2a6ba916132541fa7711c4b
30,352,1,426,426,213,34337,,5bab7492053cab0fb58c3462a618f6c9668dc556b6170e4e4dc7a2ae75bf8d16
31,328,1,154,154,79,21625,,2dbbf933ab8281e4e034d4309440e4b73b3938e78cbc4f03f0ad1c14d85696b3
32,325,1,217,217,110,23066,,144bb9bc7f12a4137f998b88b0321bb01d39ec17364d728ea0160ed4ee4377c5
33,324,1,162,162,81,10820,,d3033715219a30da50a2d904f0a25a482ca72fb681ab2861c15ed981cf80ae8b
34,362,1,175,175,87,22426,,c66fa6027c8720da373863f6da931b7f7b22afd4713447d43898b10907756d18
35,361,1,514,514,255,24713,,10062d7079d2f877900b28d6eb15151dc1c308423f641f26c6051f90d499e0a5
36,424,1,394,394,198,30561,,60d701b1e238eceb7f669e3f2afd2241e6c6f0f51def7db57c4df61469521249
