video_id,obsid,year,n_observations_for_teacher,n_codeable_turns,n_teacher_turns,ambiguous_only,seed,selection
1411,4430,3,1,279,149,,20260724,seeded_draw
302,2405,2,4,416,193,,20260724,seeded_draw
303,2253,2,5,157,94,,20260724,preferred_scanned
304,2358,2,6,348,181,,20260724,preferred_scanned
305,2634,2,6,551,311,,20260724,preferred_scanned
306,82,1,3,441,214,,20260724,seeded_draw
307,2205,2,5,515,257,,20260724,preferred_scanned
308,87,1,3,308,154,,20260724,preferred_scanned
309,2204,2,6,353,172,,20260724,preferred_scanned
310,538,1,3,362,179,,20260724,preferred_scanned
312,2916,2,5,291,141,,20260724,preferred_scanned
313,2757,2,6,339,189,,20260724,preferred_scanned
314,2458,2,6,291,144,,20260724,preferred_scanned
315,2197,2,10,311,165,,20260724,preferred_scanned
316,2530,2,6,583,284,,20260724,preferred_scanned
318,2800,2,6,575,287,,20260724,preferred_scanned
319,535,1,3,405,202,,20260724,preferred_scanned
320,1085,1,3,599,316,,20260724,preferred_scanned
321,39,1,3,386,192,,20260724,preferred_scanned
322,47,1,1,352,153,,20260724,seeded_draw
323,199,1,3,553,269,,20260724,preferred_scanned
324,128,1,3,298,148,,20260724,seeded_draw
325,2199,2,5,284,141,,20260724,seeded_draw
326,2776,2,6,178,111,,20260724,preferred_scanned
327,2987,2,6,281,140,,20260724,preferred_scanned
328,2928,2,6,447,217,,20260724,preferred_scanned
329,2531,2,5,202,106,,20260724,seeded_draw
330,56,1,4,242,123,,20260724,preferred_scanned
331,1146,1,3,364,206,,20260724,preferred_scanned
332,2595,2,9,711,352,,20260724,seeded_draw
333,447,1,3,211,105,,20260724,preferred_scanned
334,2783,2,7,219,119,,20260724,preferred_scanned
335,434,1,3,366,181,,20260724,preferred_scanned
336,131,1,3,207,100,,20260724,seeded_draw
337,2561,2,6,215,107,,20260724,seeded_draw
338,2389,2,3,604,292,,20260724,preferred_scanned
339,465,1,3,466,233,,20260724,preferred_scanned
