video_id,from_obsid,to_obsid,from_turns,to_turns
303,2917,2253,199,157
304,2803,2358,406,348
305,2357,2634,287,551
307,537,2205,536,515
308,202,87,270,308
309,2684,2204,545,353
310,203,538,523,362
312,13,2916,237,291
313,2193,2757,276,339
314,4240,2458,277,291
315,790,2197,239,311
316,251,2530,440,583
318,2591,2800,769,575
319,50,535,272,405
320,534,1085,397,599
321,540,39,383,386
323,533,199,232,553
326,451,2776,357,178
327,2927,2987,219,281
328,31,2928,154,447
330,532,56,320,242
331,59,1146,584,364
333,133,447,313,211
334,73,2783,325,219
335,90,434,1134,366
338,435,2389,487,604
339,21,465,166,466
340,446,24,534,488
341,1064,2789,580,611
342,80,206,280,415
343,75,1147,219,392
344,78,2571,423,588
345,227,2397,731,477
346,583,76,680,576
347,81,225,465,362
348,4249,2592,591,640
349,579,2761,168,191
350,1076,4598,183,117
351,22,2765,491,190
352,4250,4678,660,145
