speaker,cleaned_text
teacher,yes i m going to be writing but it s going to be multiplication do i need to do anything with this take out your homework please and you may have your snack if you were not here yesterday and you didn t get the homework please come get it from me
student,i used inaudible right there
teacher,okay take out your homework if you were not here yesterday and you did not get the homework the day before please come get it from me
student,i was inaudible homework from inaudible
teacher,student b were you here yesterday
student,yeah i was but inaudible
teacher,sit down
student,inaudible
teacher,oh are you here to get it
student,yes
teacher,student m if you were here yesterday you should have got it did you do this last night sit down
student,it was inaudible last night
teacher,it was what
student,it was in inaudible last night
teacher,then you did it
student,it wasn t
teacher,you looked at your planner and you saw that you had a multiplication sheet right
student,yeah but i inaudible
teacher,i ll give you this student m but i ve got to count it as missing because yesterday when i passed them out if you didn t have it for some reason then you shouldn t have been packing up student g too loud homework class let me have your homework class
student,i have a unicorn on mine
student,i did inaudible
teacher,no you know the rules why would you walk out without asking me were you not here yesterday
student,yeah
teacher,but did i give you the sheet
student,yeah
teacher,just now okay so you ll give it to me monday you re going to give it to me monday but i m counting it as missing what about you
student,my dad inaudible somewhere and inaudible he left for work
teacher,that s a bummer bring it in on monday you ve got to make it your responsibility too student l to say dad did you return that sheet can i have it can i put it back and you were not here and you didn t get this the day before right
student,uh uh
teacher,and you didn t get it the day before you didn t know okay student g i need this on monday student g i need it on monday and if i don t have it on monday it s going to go in your friday folder okay if you would have known that you were going to be absent yesterday then you would have told me the day before like a couple of the other people but you didn t tell me please don t give me the it s not fair stuff all right let s really quickly go over the sheet the first one what do we have student t
student,17 856
teacher,good the next one student a
student,11 790
teacher,louder so everyone can hear
student,11 790
teacher,11 790 yes okay the next one student d
student,39 112
teacher,louder and slower
student,39 112
teacher,102 you added an extra one in there somewhere you can check your work and see if you can find it maybe you added incorrectly 39 102 next one student e
student,39 259
teacher,it s 39 759 so either you wrote it sloppy or you made a mistake in your calculations i ll do a couple on the board after if you need me to but we re making lots of careless mistakes in both classes student k the next one
student,9 280
teacher,9 280 next one student s
student,inaudible
teacher,your hundred thousand is too high but it s 43 332 if you need me to do that one after i can student l next one
student,i have a question because inaudible
teacher,yeah it s graphs i think population graphs don t worry about it if it s falling on the ground we can put it on top but don t worry about it printing okay the bottom row student m
student,31 918
teacher,no no that one s pretty far off check your work on that one student m because that s pretty far off student e
student,56 013
teacher,no 56 018 i ll do the last three just to go a little bit faster 50 344 52 416 and 85 374 i ll do a couple problems on the board that you need me to go over but you need to tell me which ones you d like me to show because again tons of mistakes in both classes not because you don t know how to do it but because you re making mistakes in multiplying and then adding student t tell me which one
student,399 times 98
teacher,399 times 98
student,yeah
teacher,well that s a hard one because we have lots of nines and an eight and student m those are harder facts put that away you don t need it and face the board please so i ll do it myself and then you can tell me where you think you made a mistake and if you got what i got so 9 times 8 is 72 nine times 8 is 72 plus 7 so it s 79 three times 8 is 24 plus 7 31 did you get that for the first row
student,uh huh
teacher,that seems to be the case a lot of people get the first row right and then they mix it up after that don t forget to add the zero and immediately cross out the two numbers one person made a mistake in the last class because they forgot to cross out a number at the top and then they added it in nine times nine student t eighty one nine times nine 81 plus eight is 89 and then three times nine is 27 plus 8 35 did you get this student t
student,uh
teacher,so then you added wrong let s see nine plus 1 is 10 nine plus 1 plus 1 is 11
student,oh yeah yeah i did add wrong
teacher,you added wrong that s so silly right you do all the multiplication right which is the hardest part and all those steps and then you add wrong student m
student,457 times 87
teacher,457 times 87 i ll do the same thing and let me know if you got what i have seven times 7 is 49 that s 35 plus 4 is 39 and 28 plus 3 31 do you have this
student,yes
teacher,okay zero cross off cross off seven times 8 56 eight times 5 is 40 plus 5 45 thirty two
student,i forgot to add the five
teacher,that ll do it
student,yeah it s a zero right there instead of a five
teacher,so you did 40 instead of 45 okay 32 plus four is 36 i ll finish it out for anybody else who had questions on this one nine 15 7 9 3 student s
student,628 times 69
teacher,times 69 okay again notice all the ones that we re picking have higher facts we really need to study these sevens eights nines and higher eight times 9 is 72 two times 9 is 18 plus 7 25 then 54 plus 2 is 56 do you have that
student,yeah
teacher,okay the first row seems to be easy zero did you cross off the 7 and the 2 okay 8 times 6 48 two times 6 is 12 plus 4 is 16 and 36 plus one is 37 do you have that
student,37
teacher,so you must have made a mistake with adding like student t did okay two five plus eight is 13 six plus 6 plus 1 is 13 seven plus 5 plus 1 is also 13 and 3 plus 1 is four
student,that s what i got
teacher,oh student s well that s the right answer
student,inaudible
teacher,i m not going to show any more for right now because i want to keep moving but please know that the mistakes that you re making you re making because you don t know your facts well enough or you re making because you make silly mistakes with adding so please keep studying those facts what we re going to do next is take another 100 multiplication quiz and this one s a little bit harder because it has more of the higher facts please take this sheet and put it here s what i want listen please if the sheet is complete because you were here yesterday or you did it last night either way put it in your math folder for student g and student m i think and student d and whoever else i might have just given this to just now i want you to put it into your homework folder so if it s complete math folder because you don t need to worry about it if it s incomplete homework folder because you need to bring it home and if it s not back here to me by monday then it s going to go in your friday folder so make sure that gets home and done all right i m going to pass out your quiz what i would like you to do in the meantime is flip or not flip i m going to flip it over you re not going to flip it over you re going to keep it the way i put it please take out a pen that is not black so we can grade these right after we take them
student,why can t it be black
teacher,why can t you just do what i say and not question me ms b
student,can we have one of your pens later if we don t have one
teacher,if you don t have your own but if you have your own use yours first do not flip these tests over yet do not flip that over student g do not even think about it
student,how many minutes do we have
teacher,well here s what i did with the last class ssssh i ve been asked the question how many minutes do we get for this one yesterday i thought wow almost everybody finished in seven minutes that was so great maybe i ll do six today and then i saw that the last class needed a lot of them were still working after six so i gave them 7 minutes 15 seconds which was exactly what i gave them yesterday and a lot of kids did really well and some kids didn t do quite as well because they don t know their higher facts so i will give you 7 minutes 15 seconds just like yesterday and if you don t do as well just know that you have some facts that you need to keep studying when we re finished we will switch with a partner or three way just so that nobody has their own paper and i ll pass out pens for those who need them so for the people who weren t here yesterday and there s a lot of you basically this is out of 100 points and however many you get right is what your score is so if you get 90 out of 100 that s a 90 percent because remember percent is always out of 100 so my advice is if you get stuck on something don t sit there counting in your head move on because you want to come back to the hardest ones at the end do as many as you possibly can first to get your score high and then go back afterwards to the ones that were harder at the very end the people who weren t here yesterday i might just time you for 7 minutes or so today for yesterday s test because i want to get that one too if not we ll get it done next week what s your question
student,excuse me are these all two digits one digits or just one digit
teacher,they re all facts so it s going to go up through 12 times 12 but just facts you re not actually doing work they re facts that you should know and you re good at your facts so don t worry about it other questions don t write your name until the end if you finish before the 7 minutes 15 seconds is up write your name otherwise when i say stop you ll write your name you should have a pencil in your hand not a pen because you re taking the test with a pencil okay flip it over and you may begin
teacher,stop if you re still working please put your name on it if you re done your name should already be on it please make sure it is first and last and now you may switch papers with your partner if your partner s not here please do another switch just so you don t have your own
student,inaudible
teacher,yes we do student g
student,i don t have a inaudible pen
teacher,raise your hand if you need a pen a blue pen you can t use black anything else is fine that s not black all right let s talking about grading this for the people who were not here yesterday here s how we re going to grade this student e listen up for the people who were not here yesterday student m if we get it right your partner gets it right you don t do anything you leave it alone if they get it wrong then you circle the answer if it s wrong you circle it if they skip it you circle it because it s considered wrong either way at the end we re going to count up how many they missed and we re going to circle it at the top we re not gonna write a percent unless they get 100 percent but i say count it twice because i want to make sure we get the right number and that we re accurate if you have a question you can put a little question mark next to it and you can ask them at the end but after you ve done the question mark i need to know if it s right or wrong by putting a check if it s right or you can put an x if it s wrong after that those are the only for the ones you re questioning if you know obviously it s wrong because their answer looks totally wrong then you just circle it are there questions student c
student,i don t have a pen
teacher,okay well they re right here and i already asked people who needed pens any other questions before i start grading your eyes should only be on the paper that you re grading not like this looking over to see what your neighbor is doing with your paper please do a good job because this is somebody else s grade student d
student,i just had one question so you don t write the
teacher,you don t have to worry about writing the right answer
student,but you don t write the score unless it s 100 percent
teacher,you don t write the percent unless it s 100 percent if they miss four you put minus four and you circle it you don t worry about percent unless they got 100 because i ll write the percent on there at the end you ll get your paper back so you can see how you did so don t worry about looking over in the meantime so please be looking at your paper the entire time and again for the people who weren t here yesterday you re not writing in the right answer you re just circling it because i m going to go fast and you might not have enough time to do that student g do you know how to grade this paper
student,yeah
teacher,what do you do if it s right
student,inaudible
teacher,no i mean what if the problem is right
student,you do nothing
teacher,and what if it s wrong
student,you circle it
teacher,okay sounds like we re ready to go then eyes on your paper please student g i need the paper facing you i need your body turned i need your chair turned i need your chair turned please that s not turned that s just moved in more turn it and please be looking at that paper the entire time what
student,inaudible
teacher,it s right there okay first row remember with questions at the end you can tell me the numbers these are numbered eyes on your papers pens in hand 36 42 21 88 pen in hand student g for when you have to circle 54 54 again 24 60 48 30 student j i need your eyes on that paper the entire time i don t want to keep saying this second row starting with 11 72 108 66 80 12 40 99 16 110 60 questions on that row yes
student,inaudible
teacher,110 starting with number 21 72 99 100 36 25 48 90 9 120 35 next row starting with number 31 132 18 48 36 20 28 72 64 28 33 student l
student,what was number 36 i mean 31
teacher,132 check that one because that seems to be a hard one sometimes all right starting on number 41 eyes on papers please 30 84 96 20 55 55 24 24 12 40 student t
student,will you read inaudible
teacher,i will read it very quickly 30 this is just for student t 84 96 20 55 55 24 24 12 40
teacher,okay starting with number 51 70 77 35 77 44 90 42 50 20 81 student e i don t want to see your eyes leave that paper one more time next row 27 15 30 48 i m on number 65 30 84 32 50 24 80 student e
student,what was 64
teacher,forty eight number 71 i m on 36 120 110 60 15 49 66 45 56 121 number 80 is 121 second to last row 56 student g eyes on your paper 40 72 32 60 63 88 18 44 27 last row 40 33 36 108 21 45 63 70 96 15 if they got 100 you may write 100 percent or minus 0 anything else please count up the numbers that they missed twice mark minus whatever at the top and circle it student k
student,what was 99
teacher,ninety nine is 96 student k
student,what was 80
teacher,121 give them back to your neighbor so i can come get them please what does that mean who wrote that
student,100 percent minus 6
teacher,how many did they miss
student,6
teacher,cross that out and write minus 6 i never said do a subtraction problem all right who did student m s student j is this right or wrong i need a check i can t just have question marks
student,he got the last one wrong
teacher,inaudible all right student c who
student,that s minus 11 not 41
teacher,good student g
student,it was an accident inaudible
teacher,as long as the number at the top is accurate student c scoot you need to go on the inaudible tomorrow okay
student,he didn t put a question mark inaudible
teacher,he didn t put a question mark what
student,inaudible
student,one of them looked like a 29
teacher,how many problems did you do that way
student,he did it with 4 but one was wrong
student,one was exactly wrong i knew that
student,one of them looked like 29
teacher,what is that student t
student,it s a 55
student,and i don t understand because he made a circle and look at that 5 down there
teacher,so you have 1 wrong okay student t try to be neat it s a minus 1 right if you borrowed my pen please hold it up so i can come get it pens that i passed out please hold it up pens student e pen pen pens girls do you have my pens
teacher,let s talk about our skits now i mean our reader seeder scripts i need your attention please thank you we re going to talk about your scripts now in the last class we only had maybe 15 minutes because our class is a couple of minutes longer than that one on fridays we actually have closer to a half an hour which is great student m face me your whole body under your chair we had a lot of people out yesterday but what we did yesterday was we went back to these scripts and some people started writing more and coming up with new ideas slightly different and some weren t different at all and what i did yesterday i went around to every group just to get an idea of where they were to see that everyone was on the right track and maybe lead you in a different direction if it wasn t seeming to work so what you re going to do today is you re going to continue from where you left off yesterday and i ll make my rounds student m to every group and i think i said i d start with your group right you and student j and whoever s with you
student,he s in our group
teacher,and then are you coming at all
student,no
teacher,okay then i ll come to you are you sure
student,yeah we re positive
teacher,okay then i ll come to you first and then i ll go to student m and student j but i ll make my way around to everybody we have half an hour so that should be fine i need you to continue from where you left off keeping in mind please that we re not assigning roles we re not saying numbers we re not assigning roles we re not giving gestures and sound effects student s and e we re just writing the script that s it we re just writing everything that stuff will come later when you turn these in back to me every single thing that s in here needs to stay in here and the first thing i want to see on top is the slip that says what you re supposed to do because this is important and this you can t lose whoever s recording needs to be nice and neat please and i don t mind if the reporter switches every time as long as you are nice and neat student e is there a question
student,i think it s kind of done because when we started like the first day we started by writing like one two three inaudible
teacher,okay i told you not to do that from day one i told you not to do it yesterday and your group s not done no group is done
student,not from yesterday like when we started
teacher,yeah but i said the same thing back then that we weren t adding those things in but no group is finished there s a lot of tweaking that we need to do in order to make these ready to actually type up now for the people who were not here yesterday i gave everybody who was here yesterday a script that mrs c and i wrote and i did share this with the entire class student e a few months ago but yesterday i passed it out to everybody and we as a class practiced reading it so for the eight people that were not here yesterday i will give you that same piece of paper and you re gonna save it in your math folder so that you have a good idea of how often i did single lines how often i had group lines how often i had the entire class where and when i put in sound effects and gestures so you re not gonna lose that sheet you re gonna keep it it was this one and it s gonna stay in your folder just to give you an idea of how an ending script will look we re gonna sit around the room you can either sit in clumps at desks or you can sit on the floor but i can t have any group right next to another i had two groups up here yesterday and it was too close it didn t work so we can sit behind tables we can sit at desks but i want to see everybody only speaking to their group members you re not allowed to talk to another group i want one person please talking at a time so that it doesn t get too loud the last class did a pretty good job with that even in just that 15 minutes so i need you to do a nice job too student d
student,can our group have the blue round table like we had yesterday
teacher,oh that s why i didn t go to you i forgot you were out there yes i was going to say i thought i went to every one in the class but that s why you were out there yes student c
student,me and student r and student l and student g inaudible
teacher,no because i want to monitor to make sure that everybody in your group is doing a good job if you know what i mean student c and then if the answer is yes if everyone did a good job then you can go in next week okay yes
student,inaudible
teacher,that s fine all right so i have student t s group here and for the people out yesterday other people you need to tell them what you did yesterday so like student t doesn t know she wasn t here so make sure you catch those people up all right here s yours student d here s your group and i ll come to the hall and then i ll come to student j student t s group student e student e student s student s s group student c student r student l s group and you guys are okay i want you to do a good job with your group
student,yeah
teacher,the reason that i can t have your group in the back room is because of your behavior last time
student,okay
teacher,show me that you can do a good job with them and that you re only being helpful and then i ll feel like i can trust you to be in the back room with your group
student,okay
teacher,all right go find them
student,can i sit in the chair
teacher,yes student k student l be really careful with that thing i really don t want your feet anywhere near it it might be better for you all to sit on the floor i don t want you standing you re going to be standing for 25 minutes
student,bye inaudible buy a inaudible for only 9 95
teacher,you re going to have to be quieter than you are right now let s move the table down a little bit and then we ll move it back at the end moving table ssssh because you have miss h s class there and the other class is there so you can t be so loud
student,so what we did was we wrote and so the caller said okay i get it thank you bye and then we wrote so buy a math inaudible for only 99 99 and that s all we did
student,and since this was so sloppy we just wrote a new one because inaudible
teacher,okay are you finished re rewriting that because if you re done then you can
student,no
teacher,okay well when you are we should recycle whatever you don t need any more okay so i remember writing this with you last time so where is the beginning
student,right here
teacher,and this comes
student,we actually added two gestures because we forgot
teacher,okay don t do any more of that where does that come is that after this
student,it s connected to that
teacher,i need to know what order i m reading this in
student,this is first and then this
teacher,all right and now a message from our sponsor are you having trouble adding and subtracting fractions question mark
student,this is like a tv show
teacher,okay you need the math pad you need the math pad
student,it s just like an ipad
teacher,it s just like an ipad with special features your math pad will help you solve all your problems now we re going to take some callers and we re going to solve all their problems caller how to subtract fractions with like denominators you guys know that question marks have questions come on say you were doing 3 5 minus 1 5 you would subtract 3 minus 1 and you get what does that say
student,and you get two that s just a gesture that you put in
teacher,so like that like you were about to say and you get
student,two
teacher,two
student,and you do not do anything to the denominator
teacher,and you do not oh and you do nothing okay to the denominator
student,and it goes
teacher,okay student m i m going to say which means it stays the same just so that s clear
student,i thought inaudible
teacher,all right which means it stays the same so your answer s one fifth caller now i get it but how do you subtract fractions with unlike denominators okay so but use
student,so let s
student,you told me it said but
teacher,it doesn t matter so let s use two thirds minus one half as an example and that s where this comes in
multiple students,yes
teacher,okay where six is the denominator in both let s use a fraction 2 3 first you have to multiply the denominator 3 by 2 to get 6 and you do the same to the numerator so 2 x 2 is 4 so the new fraction is 4 6 right now do the same to Â½ yeah that would be 3 6 okay
student,and then we still have inaudible
student,should we say when 6 is the denominator instead of where 6 is the denominator
teacher,either probably i feel like i want to add in something else with that too student e are you doing a good job working with your group do you have mr w s number do you want me to text him and ask him to come up
student,inaudible
teacher,that s a pain
student,inaudible for mr w
teacher,so let s use 2 3 and Â½ as an example where 6 is the denominator in both i think i want to add because i want to say why because it s not quite clear because 2 and 3 both go into 6 they are factors of 6 or the other way to say it would be 6 is a multiple of both okay so then you re going to what that page
student,and then we re going to say where are we okay so inaudible
student,it s on the back
teacher,because this comes next you were going to keep writing on this page
student,no
teacher,you don t want to write on this page because this goes to this so either write here or start another piece of lined paper you might want to number these
student,we finished
teacher,it s unbelievable that you re saying those things right now unbelievable you were supposed to be working with your group on a script and instead i hear those kinds of jokes from out in the hallway while i m working with another group go back to your seat for right now you cannot work with your group right
student,what are you supposed to do
teacher,student t stop asking me that question when i m talking to student e sit down i heard you would you like me adding that to your planner to what i said to your dad already you don t think you just act you don t think about what you re actually doing okay so you finished that paragraph from yesterday right put a one on that page all right you run a number inaudible like this starting with the 5 in the tens place there is a 3 to the right of 5 and 3 is 4 or less so you round the 5 down there is a 5 to the right of the 0 and 5 or higher you round that so you round the 0 to 1 there s a 0 to the right of the 2 so since the 0 is 4 or less the 2 stays the same okay and this part you did on your own the 7 is to the left of the okay how come you started saying to the left when every other time you said to the right you can t switch the order look there a 3 to the right of the 5 there s a 5 to the right of the 0 there s a 0 to the right of the 2 now you re saying to the left you re confusing this you need to go in the exact same order for all of them
student,7 to the right of the 9
teacher,student j no you re on you ve done the 5 and the 0 and the 2 i think we did the 2 now you re looking at the 7 and instead of saying there s a 2 to the right of the 7 and the 2 s what you look at to round the 7 you said there was a 7 to the left of the 2 which is totally confusing i m not going to read the rest until you fix those things so you make sure it s all consistent and if you forget what i m talking about or you don t quite get it reread what i wrote you always say what s to the right of the number being rounded guys can you all sit on the floor so you re actually together as a group student r push in my chair and sit on the floor please
student,let s go over here
teacher,here is fine i want everybody sitting everyone together if you want get a board student g get up student g come on are you done with your group
student,yeah
teacher,if you need to tie your shoe come over here and tie your shoe
student,i think that we should get another paper and then label the lines label the lines so that we can say like before line one
teacher,i don t want actually parts being given though until you have every line written i know that we started with narrator person all that stuff student c but you don t have to worry about those parts yet you just have to worry about getting the entire script down
student,so we have a lot of the script but i feel like it need something else
teacher,what are you thinking
student,like inaudible
teacher,okay let me look at it again to remind myself you re doing long division the balloons and did we say we were going to give another example is that where we went yesterday
student,yes we did
teacher,and did you work on that today
student,we were talking about it yesterday but then we haven t started it yet
teacher,do you have an idea yet
student,well we were thinking of the 100 people per inaudible
teacher,well you already did 100 let s do another number
student,uh 250
teacher,and remember you oh because you have the long division you have more to do you need to talk about what to do with the different remainders right so why don t you host student e s party and you need to sit them all at tables is that the one that you re thinking of
student,yes
teacher,so you re doing the example of what it is to have a remainder where you round up right if you have three people standing you have to add another table in
student,yes
teacher,were you here yesterday
student,yeah he was
teacher,then how do you not understand what i m talking about
student,student l can you explain it to him please
student,we re going to keep this script and then we re going to add just another story just like a little one to it
teacher,right so we have to figure out a way to transition okay so first we started with when it says person what does that mean is that the balloon man
student,oh person yeah that s the balloon man
teacher,okay so all we have is three and then he s a inaudible right 100 balloons you re not joining your group yet have a seat please you re not talking to them you re not doing anything with them right now do not talk to them okay 100 balloons we have to deliver them to 6 parties how many does each party get 100 divided by 6 i m just going to skim down here no you re not in that area i moved this group from that area yes 6 x 4 inaudible remainder there are several things you can do with the remainder in our case the best thing to do is drop the remainder this is called drop it what s that no pop it that means when you don t care about the remainder you just throw it away inaudible 16 go to each party okay now we inaudible we didn t say though the reason why we re dropping the 4 and the reason that we re dropping the 4 is because we don t have enough for all 6 parties and we want an equal number can i have the board for a second and your pencil i just want to add in a line for that now i need you all thinking about how you re going to transition into the next division problem do we want to keep the idea of the balloon man and the angel and devil it would be the easiest way to not make it seem like it s two stories in one you know what if the balloon guy s like wait hold on guys and he doesn t want them to go away yet you know student g it s like an angel and a devil sitting on his shoulder can you picture that in cartoons after the angel says to do something good the devil says do something bad
student,or inaudible
teacher,i know it s not the point student g what i m saying is student k if you re the balloon man if he could say something like hold on guys i have another question i m holding a new years eve party this weekend and i have 250 guests and the tables that i have only seat 8 each so how do i figure out how many tables i need and then what you ll do is you re going to skip through how to divide you re just going to say okay hold on let me get that division in my head oh the answer is because that s fine right because the issue now is not how to divide but it s what to do with the remainder so once you say oh the answer is whatever remainder whatever one person talks about what to do about that remainder in the end
student,could we say later than evening and then have him be like wondering why
teacher,yeah and they come back i like that
student,oh we re back
teacher,so i think for all of the remainder things that we do it should be something like that we should stick with this idea of the balloon man and he just has different problems seven balloons for each party 16 balloons go to each party comma we drop the four the four balloons because
student,inaudible in each party
teacher,each party needs an equal number okay so next you re going to do the one where you round up for the number of tables and then you can consider something else before you split the remainder but let s not worry about that one yet okay i m going to number these 1 2 okay you re going to need another piece of paper and we re not going to write the end any more we re not near the end
student,why don t we all just do something that has an ending like inaudible
teacher,that s at the very end student g we re not there student g doesn t understand what i m talking about because he wasn t here yesterday i know student l that you do so just try to bear
student,later that evening
teacher,yeah later that evening dot dot dot and that s something that the narrator would say but you can write balloon man narrator whatever that kind of thing but let s not do gestures and that kind of stuff yet this a good start though nice job how s it going
student,really good
teacher,awesome
student,we re rewriting our script so it s neater because the other one was like we couldn t even read it
teacher,okay remind me what we re doing
student,we re doing the balloon show
teacher,on
student,perimeter and area
teacher,that s right
student,since in the very first round we did like the questions that actually ask what perimeter and area and stuff were now we re doing hello let s say you have a garden that you are going to cover with mulch would you use perimeter or area to find out how much mulch you need and things like that
teacher,i would use i don t know perimeter
student,wrong 0 55 00
teacher,inaudible up by 20 points but can you explain this though can that be explained is there an announcer or
student,inaudible
teacher,okay so are you the person asking the questions you are right so you might also want to say unless the question goes to student g you might want to say no you use area because when we measure area we re measuring the surface of something the inside of something you know what i mean because the point of this is to be clear in our subject
student,you need to find out the amount you need to find out the surface
teacher,yeah because you re finding what was this one for because you re finding the area of a surface something like that in your words is fine but i like how it s going all right are you making it consistent
multiple students,yes
teacher,are you ready to join them
student,yes
teacher,i don t want to hear anything inappropriate and that goes for all four of you all of your conversation needs to be about this i m going to come see them and then i m going to come see you come sit here face this group and do a good job how s it going
multiple students,good
student,so 19 00
student,we put a star there because we couldn t fit it
teacher,i m trying to remember what your script is on
student,grocery store and inaudible
teacher,the broccoli right
student,no celery
teacher,oh the celery
student,we did another one
student,we added another item
teacher,but the one yesterday was with the two kids right
student,yes inaudible kids
teacher,okay because i was telling the last class about your script because they were having trouble coming up with something to do for the multiplication so i told them about it okay so is this page one you should label them also
student,this one is page one where the star is
student,this is page one and then you have to go to this part to the star
teacher,on page one
student,and we did another thing we did it for the ice cream
teacher,okay let me look okay hello how are you i m good thank you so you re already up at the cash register right
student,yeah we finished
teacher,okay
student,no this is the second page
student,that s the first page
teacher,can i have a pencil please we need to number these plus you wrote on the wrong side of the page so it s confusing
student,oh sorry
teacher,all right one
student,that s just
teacher,and then which side
student,then here but then we have to go to the star on the first page
student,the star is where it starts
teacher,okay one day a family of three went to a supermarket hurry up student g if you re going to go go okay sit down so kids what do you want to get cookies ice cream don t forget the celery inaudible everything else finally they go to the front of the line hello how are you i m good thank you so each bag of celery costs 8 25 and you have five bags of celery the estimate is i know since 8 25 is close to 8 and we have 5 bags of celery the estimate s 40 good job kids you re doing great math whoohoo then the cashier typed in 8 25 times 5 and got 41 25 wow that was really close to your estimate after many more items
student,no no no
teacher,oh that was really close to your estimate now the ice cream you have three cartons each cost 6 50 now let s estimate 6 50 is close to 7 00 and 7 x 3 is 21 so our estimate is 21 inaudible dollars good job shall i keep going the cashier typed in 6 50 times 3 and got 19 50 and now we go back to the bottom after many more items they
student,then you go back
teacher,finally left see you later kids come back soon
student,shouldn t we say like the inaudible was
teacher,i don t think that actually matters because i don t think that s necessary for what your script is about so the steps for multiplying decimals so you talked about how to estimate
student,estimate and then multiplying it
teacher,multiplying and then adding in making sure that the estimate is close to your answer include how you know where the decimal goes in the answer yeah that s kind of covered in the estimate use correct place value charms so that was written in there to talk about if you were actually saying
student,move the decimal
teacher,like this yes the moving like i drew yesterday the moving of the decimal
student,but you said we didn t have to do that
teacher,yeah okay so are you thinking that where are you thinking from here
student,i don t know
teacher,it s good it s a little short but it s definitely good it gets the job done for what we want
student,do you want all of them
teacher,i m trying to think
student,we added the new thing
teacher,no it was good that you did it twice
student,miss f student c s been taking such a long time in the bathroom and i have to go
teacher,well i assume he s in there by himself he s not fooling around you re just going to have to wait a minute till he comes out
student,why are you always filming things
