speaker,text,video_id
teacher,"Friends, yesterday we started off by working on some word problems together, yes?",706
student,Yes.,706
teacher,"And yesterday towards the end of the period, you got a word problem given to you that you had to draw a picture to show it, and you had to do the math problem to show it, yes?",706
multiple students,Yes.,706
teacher,"Some of you might be done. If you are finished, then you can just look over it to make sure that you are happy with the way that it is. And if you are not done, now is your time to get it done. I'm gonna set about ten minutes on my timer. And if we need less time than that, then we will take less time. But I'm gonna give you at least ten minutes to finish it up. And then we're gonna start something new. So my timer is set for ten minutes. You get ten minutes to finish it up.",706
student,Can we find new ways to check it or [inaudible]?,706
teacher,"Well, the best way to check it is going to be to draw the picture and do the math part of it. So let's look at what you have. A lawn mower holds three fourths a gallon of gas. So I'd be drawing that picture. I could be drawing a whole gallon cut into fourths with three of it filled.",706
student,Can you [find] the gallon?,706
student,I don't know how to.,706
teacher,"I guess draw it ?? basically remember yesterday when I showed you the cups, like a cup of cheese. You're just drawing a container and cut into fourths because you need to have three-fourths of it filled. So that's the whole amount.",706
student,I can make it like that. That's the way it fills up the gas.,706
teacher,That works. So now show three fourths of that.,706
student,I'm pretty [inaudible].,706
teacher,"You might wanna draw it a little bit bigger. Like I wanna show this. Like yesterday when we were talking about the cheese I showed you a picture. And I said that she needed three fourths. So that's one fourth, two fourths, three fourths, four fourths would be the whole thing. And I said that she had to have this much, right?",706
student,Mm-hmm.,706
teacher,Do the same thing with what you're doing there but with a gallon of gas. I'm talking to you just in case. Draw a picture of how much she would have in all with the new color. Basically a picture of your end result. Let me see what you got going on here.,706
student,He's using my pencil.,706
teacher,That's what you have going on? Because Student H was using your pencil?,706
student,Yeah.,706
teacher,"So four, five.",706
student,At first [inaudible].,706
teacher,I'm writing it upside down. Hold on. Let's turn it around [inaudible]. There we go.,706
student,[Inaudible]. And then she erased it.,706
teacher,"So basically Student J trying to get to the last house, right?",706
student,Mm-hmm.,706
teacher,"And how far is it, the whole distance?",706
student,Four fifths a mile.,706
teacher,"Four fifths a mile. And she's already walked half. And you're trying to find how much further she has to go. So you say that four fifths is your total and that she's already done half, right? So you jot down your LCM is ten. So you know it is tenths. So your answer is three tenths of a mile. So let me see your picture. So you need to label your picture. So you're still working on it.",706
student,Student J here. Student I here. And then four fifths in the middle and put a line here.,706
student,"No, we put right here or right in the middle.",706
teacher,Looks like you're working hard. Let me see what you got.,706
student,Can we use this [inaudible] please?,706
teacher,Who do they belong to? Thank you. So Student J worked on a jigsaw puzzle for one fourth an hour before dinner. And he worked on the puzzle for another five eighths of an hour after dinner. How much time did Student L spend on the puzzle in all? So you're saying that ?? what are your key words to know that it's addition?,706
student,Because he's saying how much more?,706
student,More.,706
teacher,"I don't see how much more. Or the saying, I don't see the word together. Show me in the actual problem where you know that it's addition. Student M, what key words do you see there that tells you it's addition?",706
student,Time.,706
teacher,Time doesn't ?? 'cause that could say [inaudible].,706
student,In all.,706
teacher,In all. Very good. In all tells me that I'm talking about ??,706
student,Adding.,706
teacher,"?? addition. That's right 'cause in all means that I have this and this, and if I put it together that's how much I have in all. And if I put things together, then I'm adding them. So you're saying one fourth plus five eighths. So your LCM is eight. So you said 4 times 2, do it to the bottom. 1 times 2 is 2. 2 plus 5 is 7. So is this your final answer?",706
student,Yes.,706
teacher,How do you know that you're done with this?,706
student,Because you cannot [inaudible].,706
teacher,How do you know?,706
student,Because this is a prime number and this cannot divide [inaudible].,706
teacher,"So 7s prime and 7 cannot divide into 8, so you know that you're finished. Exactly. So what you have here, here's your picture. So this is a full hour, right?",706
student,Mm-hmm.,706
teacher,And you cut into fourths because he spent one fourth an hour here. And then he spent five eighths of an hour here which is what you showed here. So if you add these together you come up with ??,706
student,Seven eighths.,706
teacher,"So how much did he actually spend in all? How much like out of an entire hour did he spend just part, like a small part?",706
student,[Inaudible].,706
teacher,"See, but let's extend it.",706
student,50 minutes.,706
