speaker,cleaned_text
teacher,turn to page 20 please we re gonna be working some more practice today we re gonna be making fraction cards and you re gonna be working in groups groups that i ll call out
teacher,i have student l student c student l group one and student s student a student e group two student e student l and student r group three student b student w student k group four student b student k is not here and student j group five remember those numbers because you re gonna be putting those on the back of your fraction cards inaudible we ll look at how to make those in just a second first page 20 inaudible page 20 inaudible addition fraction problems okay let s take a look at those which one of these has a sum greater than one and of course how do you know which ones have sums greater than one one whole and which ones have sums less than one
teacher,and can you tell which ones have sums greater than one or less than one before you figure out the exact answer so let s look at each of those what about number three one half plus three eighths greater than one whole or less than one whole thank you for raising your hand student e
student,less
teacher,less why
student,inaudible
teacher,okay it s seven eighths and you figured that out okay how did you figure that out oops nobody warned about these inaudible
student,inaudible
teacher,one half plus three eighths you said seven eighths how do you know
student,inaudible
teacher,well you can figure out the exact answer so you re right that s the answer to one half plus three eighths and you drew a rectangle and figured it out so we can do that can we look at it and say that is less than one whole
student,because one half is four eighths so four eighths plus three eighths equals
teacher,okay we can look at it and say one half is the same as four eighths take something and divide it into eight equal parts and we shade in four of those half of it so one half plus another three eighths is seven eighths that s less than how do you know seven eighths is less than a whole student a
student,because if it s one whole it has to have the same denominator and numerator
teacher,numerator and denominator have to be the same is there another way to say that
student,it could be the same it could be
teacher,to be a whole
student,yeah to be a whole it could be one half from four eighths cause four eighths is a similarity to one half
teacher,okay so it s an equivalent fraction similar but equivalent fraction to one half so another way to look at it is this one thinking of that as four eighths like some people do another way is think of this one if it was one half that would have to be four eighths right so what does that tell you if this was one half what would one half plus one half be
student,one whole
teacher,back to one whole right so it s less than that so all we need to know is that it s less than one whole right cause three eighths is less than one half and we can show that on pictures
teacher,okay let s look at number four one third plus one half plus two thirds one third plus one half plus two thirds without even figuring it out i went with a picture to calculate so is this more or less than one whole everybody should be looking at inaudible paper student c
student,if you add the one third plus the two thirds equals a whole
teacher,that s already a whole right one third and two thirds i like the way you skipped over the one half you don t need to get you know these two together is already three thirds or one whole then you have more than that another half so that has to be greater than
teacher,greater than one whole remember the greater than symbol
multiple students,yes
teacher,number five excuse me number six five sixths plus one third greater than or less than one whole this is one a little bit trickier without figuring out the exact answer student j
student,number six is more than one
teacher,you re saying greater than why
student,because one third is equivalent to two sixths and if you add them together it will equal seven sixths
teacher,i m loving the math words you re using equivalent so two fractions that are equivalent what does that mean two fractions that are equivalent
multiple students,the same
teacher,no not exactly the same because they look different right
student,similar
teacher,similar what does it mean in terms of if you re drawing a picture of those fractions if you re representing those fractions in a grid for example
student,they re different but the same
teacher,they re different but they re the same they look different
student,they look different but they re the same
teacher,it looks like just one third over here and then i made two sixths and i did it below each other like that so i could really compare it what s true about those two
student,they re the same
teacher,thank you student l
student,if you sort of erase the line that s the in the middle the one third thing
teacher,if i compare these two the area of those two that are shaded right inaudible then those should be the same if i do those perfectly inaudible so they re the same area the same amount one third on this whole is worth the same amount that two sixths is on the same whole right or the same size and shape
teacher,okay very good now let s look at this one how do you solve this problem that was number 5 one half plus three sixths plus four eighths inaudible okay
teacher,one half plus three sixths plus four eighths how do you solve that student s
student,you could draw one half inaudible
teacher,okay we ll do the one half first one half of the rectangle okay you can t see that one half very well and
student,and inaudible three sixths
teacher,three sixths how can i show that three sixths is the same as what equivalent to what
student,three sixths is equivalent to one half
teacher,is that what you were gonna say student l right i can show that on here three sixths if i take the whole scale and divide it into six equal parts that s the same as one half so already i m greater than one right
student,inaudible
teacher,so here s three sixths and then what are we gonna add to that what
student,four eighths
teacher,four eighths very good four eighths now i don t have any room left on this what do i do
student,use the other inaudible
teacher,use another whole because it s greater than one whole right it has to be more than one whole now the whole is still this one rectangle this is a tricky part that some people get confused the whole now isn t two rectangles it s one rectangle so i still have to take this one whole and divide it down into eight equal parts let s see
teacher,how do you want me to do that like this
student,yes
teacher,is this four equal parts
student,yeah and then just inaudible
teacher,and here is eight equal parts
student,inaudible
teacher,and then i want four added to those i m asking those same questions right all the time whenever i represent each of these fractions what s the first question
student,inaudible
student,the first question is what is the whole
teacher,what is the whole in this case what is it
student,it s the whole rectangle
teacher,one whole rectangle so now i have two wholes that we re working with okay and how many equal parts is the whole divided up into for one half
student,two
teacher,two equal parts this part and this part i shaded in one of those how many equal parts are we talking about this is the part we shaded in if we do for each fraction you guys should be really good at those questions now they should be getting in here now because you shouldn t have to check each time
teacher,you used it a lot and you won t be able to use it later on like on tests you won t be able to use your math notebook and inaudible that should be in your head because we re using it a lot asking those three questions all the time yes
student,there s an easier way to add that up if you notice inaudible you can see that all the fractions are halves so the easier way is one half plus one half plus one half
teacher,okay so one half and three sixths is equivalent to one half i will label that one four eighths is also equivalent to one half very good so i have one half plus one half plus one half all these are equivalent fractions thee sixths and one half four eighths and one half right that s easy to do and what do we get
student,inaudible
